tag,n,trolls,p,lam,regimen,loc,fracTrolls,mean_rho_W,mean_rho_LW,mean_rangoFinal,mean_stdFinal,mean_convTime,mean_P_norm_vs_trolls,mean_propNegNormals,mean_medianFinalNormals,mean_resid_fp,mean_medianFinal,mean_meanFinal,std_convTime,std_rangoFinal,std_stdFinal,prop_stochastic,prop_substochastic,prop_isStrongLW,mean_nSCC_W,mean_nSCC_LW,mean_periodW,mean_periodLW,prop_isStrongW,prop_isPrimLW,mean_nSCC_W_over_n,mean_nSCC_LW_over_n,mean_rho_emp_W,mean_NDI,mean_P2,mean_P4,prop_consenso,mean_k_needed
n300_trolls0_desconectada_bajoPR_lam0.20,300,0,0.009506304124427,0.2,desconectada,bajoPR,0,,0.200000000000001,0.85404113650195,0.206007775923039,6.96,NaN,0,0.535319392144763,3.18334527229375e-07,0.535319392144763,0.552128500187299,0.282842712474619,0.0221686246191506,0.00174851400181578,1,1,0,20.74,20.74,NaN,NaN,0,0,0.0691333333333333,0.0691333333333333,1,22.91627992815,0.347149608128092,165.63855005619,0,8
n300_trolls0_desconectada_medioPR_lam0.20,300,0,0.009506304124427,0.2,desconectada,medioPR,0,,0.200000000000001,0.85404113650195,0.206007775923039,6.96,NaN,0,0.535319392144763,3.18334527229375e-07,0.535319392144763,0.552128500187299,0.282842712474619,0.0221686246191506,0.00174851400181578,1,1,0,20.74,20.74,NaN,NaN,0,0,0.0691333333333333,0.0691333333333333,1,22.91627992815,0.347149608128092,165.63855005619,0,8
n300_trolls0_desconectada_altoPR_lam0.20,300,0,0.009506304124427,0.2,desconectada,altoPR,0,,0.200000000000001,0.85404113650195,0.206007775923039,6.96,NaN,0,0.535319392144763,3.18334527229375e-07,0.535319392144763,0.552128500187299,0.282842712474619,0.0221686246191506,0.00174851400181578,1,1,0,20.74,20.74,NaN,NaN,0,0,0.0691333333333333,0.0691333333333333,1,22.91627992815,0.347149608128092,165.63855005619,0,8
n300_trolls0_desconectada_bajoPR_lam0.35,300,0,0.009506304124427,0.35,desconectada,bajoPR,0,,0.350000000000002,0.75610459031368,0.170944530144501,9.68,NaN,0,0.546754577598175,5.19121270916578e-07,0.546754577598175,0.552275759860115,0.652780551931192,0.0345910902136274,0.00267203595924517,1,1,0,20.74,20.74,NaN,NaN,0,0,0.0691333333333333,0.0691333333333333,1,14.5185469958673,0.33414996561776,165.682727958035,0,12
n300_trolls0_desconectada_medioPR_lam0.35,300,0,0.009506304124427,0.35,desconectada,medioPR,0,,0.350000000000002,0.75610459031368,0.170944530144501,9.68,NaN,0,0.546754577598175,5.19121270916578e-07,0.546754577598175,0.552275759860115,0.652780551931192,0.0345910902136274,0.00267203595924517,1,1,0,20.74,20.74,NaN,NaN,0,0,0.0691333333333333,0.0691333333333333,1,14.5185469958673,0.33414996561776,165.682727958035,0,12
n300_trolls0_desconectada_altoPR_lam0.35,300,0,0.009506304124427,0.35,desconectada,altoPR,0,,0.350000000000002,0.75610459031368,0.170944530144501,9.68,NaN,0,0.546754577598175,5.19121270916578e-07,0.546754577598175,0.552275759860115,0.652780551931192,0.0345910902136274,0.00267203595924517,1,1,0,20.74,20.74,NaN,NaN,0,0,0.0691333333333333,0.0691333333333333,1,14.5185469958673,0.33414996561776,165.682727958035,0,12
n300_trolls0_desconectada_bajoPR_lam0.50,300,0,0.009506304124427,0.5,desconectada,bajoPR,0,,0.500000000000001,0.641586712381906,0.136083849781533,13.14,NaN,0,0.552674851367498,5.79361023134162e-07,0.552674851367498,0.552339222499441,1.01035455486211,0.0417262731984394,0.00327842423711872,1,1,0,20.74,20.74,NaN,NaN,0,0,0.0691333333333333,0.0691333333333333,1,8.40221957801834,0.323568547755054,165.701766749832,0,19
n300_trolls0_desconectada_medioPR_lam0.50,300,0,0.009506304124427,0.5,desconectada,medioPR,0,,0.500000000000001,0.641586712381906,0.136083849781533,13.14,NaN,0,0.552674851367498,5.79361023134162e-07,0.552674851367498,0.552339222499441,1.01035455486211,0.0417262731984394,0.00327842423711872,1,1,0,20.74,20.74,NaN,NaN,0,0,0.0691333333333333,0.0691333333333333,1,8.40221957801834,0.323568547755054,165.701766749832,0,19
n300_trolls0_desconectada_altoPR_lam0.50,300,0,0.009506304124427,0.5,desconectada,altoPR,0,,0.500000000000001,0.641586712381906,0.136083849781533,13.14,NaN,0,0.552674851367498,5.79361023134162e-07,0.552674851367498,0.552339222499441,1.01035455486211,0.0417262731984394,0.00327842423711872,1,1,0,20.74,20.74,NaN,NaN,0,0,0.0691333333333333,0.0691333333333333,1,8.40221957801834,0.323568547755054,165.701766749832,0,19
n300_trolls0_desconectada_bajoPR_lam0.65,300,0,0.009506304124427,0.65,desconectada,bajoPR,0,,0.650000000000003,0.502424081425649,0.10018638393537,17.54,NaN,0,0.554551320416808,6.96889211694307e-07,0.554551320416808,0.552301309434544,2.13053600614244,0.0391666161415193,0.0035079259887557,1,1,0,20.74,20.74,NaN,NaN,0,0,0.0691333333333333,0.0691333333333333,1,4.12069977608948,0.315096144265197,165.690392830363,0,30.6
